phrasal,meaning_en,examples,tags,sense_uid,separable,intransitive
take apart,to disassemble,"[""He took apart the computer."",""They took apart the engine.""]","[""IT"",""daily""]",take_apart__disassemble,true,false
take aside,to speak privately,"[""The boss took him aside."",""She was taken aside after class.""]","[""work"",""meetings""]",take_aside__private,true,false
take away,to remove,"[""Take away the rubbish."",""The new law takes away freedoms.""]","[""work"",""daily""]",take_away__remove,true,false
take back,to retract,"[""I take back what I said."",""The company took back faulty products.""]","[""work"",""daily""]",take_back__retract,true,false
take down,to remove / take notes,"[""They took down the website."",""She took down the minutes.""]","[""work"",""IT""]",take_down__remove,true,false
take in,to absorb / understand,"[""It’s a lot to take in."",""She took in the details.""]","[""work"",""daily""]",take_in__understand,true,false
take in,to deceive,"[""He was taken in by the scam."",""The story took me in completely.""]","[""work"",""daily""]",take_in__deceive,false,false
take off,to depart,"[""The plane took off."",""He took off right after the meeting.""]","[""daily""]",take_off__depart,false,false
take off,to succeed rapidly,"[""Her career took off quickly."",""The product really took off.""]","[""work"",""projects""]",take_off__succeed,false,true
take on,to accept responsibility,"[""He took on the role of team lead."", ""Don't take on too many tasks.""]","[""work"", ""projects""]",take_on__accept,true,false
take out,to remove or extract,"[""Take out the trash."",""He took out the old code.""]","[""work"",""daily""]",take_out__remove,true,false
take over,to assume control,"[""He took over as project lead."",""Another company took over the startup.""]","[""work"",""projects""]",take_over__control,false,false
take to,to develop a liking,"[""He took to Python quickly."",""She took to her new colleagues.""]","[""work"",""daily""]",take_to__liking,false,false
take up,to start / begin an activity,"[""She took up painting."",""He took up swimming.""]","[""work"",""daily""]",take_up__start,true,false
take up,"to occupy (space, time)","[""The desk takes up space."",""The task took up my whole day.""]","[""work"",""daily""]",take_up__occupy,false,false
talk back,to reply rudely,"[""The student talked back to the teacher."",""He talked back to his boss.""]","[""work"",""daily""]",talk_back__rude,false,false
talk into,to persuade,"[""They talked him into joining."",""She talked me into buying it.""]","[""work"",""daily""]",talk_into__persuade,true,false
talk out of,to dissuade,"[""He talked me out of quitting."",""She talked him out of investing.""]","[""work"",""daily""]",talk_out_of__dissuade,true,false
talk over,to discuss,"[""Let's talk over the details."", ""We talked it over and agreed.""]","[""work"", ""meetings""]",talk_over__discuss,false,false
talk through,to discuss step by step,"[""Let's talk through the plan."", ""She talked me through the process.""]","[""work"", ""meetings""]",talk_through__explain,false,false
team up,to collaborate,"[""They teamed up for the project."",""We teamed up to solve the bug.""]","[""work"",""projects""]",team_up__collaborate,false,false
team up with,to collaborate,"[""They teamed up with another team."",""He teamed up with her for the task.""]","[""work"",""projects""]",team_up_with__collaborate,false,false
test out,to try something,"[""We tested out the new API."", ""They tested out the feature.""]","[""IT"", ""projects""]",test_out__try,true,false
think over,to consider,"[""Think over the proposal."",""She thought it over carefully.""]","[""work"",""projects""]",think_over__consider,false,false
think through,to analyze carefully,"[""We need to think through the risks."",""He thought through his decision.""]","[""work"",""projects""]",think_through__analyze,false,false
think up,to invent,"[""She thought up a clever solution."",""He thought up a new excuse.""]","[""work"",""daily""]",think_up__invent,true,false
throw away,to discard,"[""Throw away old files."",""He threw away the broken charger.""]","[""work"",""daily""]",throw_away__discard,true,false
throw out,to discard or eject,"[""They threw out old code."",""He was thrown out of the meeting.""]","[""work"",""daily""]",throw_out__discard,true,false
throw up,to vomit or produce,"[""He threw up after dinner."",""The new policy threw up challenges.""]","[""daily"",""work""]",throw_up__vomit,false,false
tidy up,to clean or organize,"[""She tidied up her desk."",""They tidied up the code.""]","[""work"",""daily""]",tidy_up__organize,true,false
touch on,to briefly mention,"[""He touched on the budget issue."", ""She touched on the new project.""]","[""work"", ""meetings""]",touch_on__mention,false,false
try on,to test clothing,"[""She tried on the new dress."",""He tried on a jacket.""]","[""daily""]",try_on__clothing,true,false
try out,to test,"[""They tried out the new software."",""He tried out for the team.""]","[""work"",""IT""]",try_out__test,true,false
turn around,to improve or reverse,"[""The company turned around quickly."",""He turned the situation around.""]","[""work"",""projects""]",turn_around__improve,true,false
turn back,to return,"[""They turned back halfway."",""He turned back to get his keys.""]","[""daily""]",turn_back__return,false,false
turn down,to refuse or lower,"[""She turned down the offer."",""He turned down the volume.""]","[""work"",""daily""]",turn_down__refuse,true,false
turn in,to submit or sleep,"[""He turned in his report."",""She turned in early.""]","[""work"",""daily""]",turn_in__submit,true,false
turn into,to become,"[""The bug turned into a major issue."",""He turned into a great leader.""]","[""work"",""daily""]",turn_into__become,false,false
turn off,to deactivate or stop,"[""Turn off the machine."", ""She turned off the alarm.""]","[""IT"", ""daily""]",turn_off__deactivate,true,false
turn on,to activate or power something,"[""Turn on the lights."", ""I turned on the computer.""]","[""IT"", ""daily""]",turn_on__activate,true,false
turn out,to result in a certain way,"[""The migration turned out to be a success."", ""It turned out he was right.""]","[""work"", ""daily""]",turn_out__result,false,false
turn over,to rotate or transfer,"[""Turn over the page."",""He turned over responsibilities.""]","[""work"",""projects""]",turn_over__rotate,true,false
turn up,to appear,"[""She turned up late."",""He turned up at the party.""]","[""work"",""daily""]",turn_up__appear,false,true
turn up,"to increase (volume, level)","[""He turned up the volume."",""She turned up the heat.""]","[""daily""]",turn_up__increase,true,false
unplug,to disconnect a device,"[""Unplug the USB drive safely."", ""He unplugged the lamp.""]","[""IT""]",unplug__disconnect,true,false
use up,to consume completely,"[""They used up all the resources."", ""She used up the last page.""]","[""work"", ""daily""]",use_up__consume,true,false
wake up,to stop sleeping,"[""She woke up at 7."",""He woke up early.""]","[""daily""]",wake_up__wake,false,true
wash up,to clean dishes or oneself,"[""She washed up after dinner."",""He washed up before bed.""]","[""daily""]",wash_up__clean,false,false
watch out,to be careful,"[""Watch out for mistakes."",""Watch out, the floor is wet.""]","[""work"",""daily""]",watch_out__care,false,false
watch out for,to be careful,"[""Watch out for errors."",""Watch out for cars.""]","[""work"",""daily""]",watch_out_for__care,false,false
wear off,to fade,"[""The effect wore off quickly."",""Her excitement wore off.""]","[""daily""]",wear_off__fade,false,false
wear out,to exhaust (person),"[""He was worn out after work."",""The kids wore me out.""]","[""daily""]",wear_out__exhaust,false,false
wear out,to damage / wear down (object),"[""These shoes wore out quickly."",""The tires wore out after 20,000 km.""]","[""daily""]",wear_out__damage,false,false
wind down,to relax after work,"[""Let's wind down after the sprint."", ""They wound down with a drink.""]","[""daily"", ""smalltalk""]",wind_down__relax,false,false
wind up,to finish or end,"[""Let's wind up the meeting."",""He wound up in hospital.""]","[""work"",""daily""]",wind_up__finish,false,false
wipe out,to destroy or eradicate,"[""The crash wiped out data."",""The disease wiped out a village.""]","[""IT"",""daily""]",wipe_out__destroy,true,false
work on,to focus effort,"[""She is working on a new project."",""He worked on his presentation.""]","[""work"",""projects""]",work_on__focus,false,false
work out,to exercise,"[""He works out every morning."",""She works out daily.""]","[""daily""]",work_out__exercise,false,true
work out,to resolve / solve,"[""We worked out the issue."",""They worked out the details.""]","[""work"",""projects""]",work_out__solve,true,false
work up,to develop or generate,"[""He worked up a report."",""She worked up the courage.""]","[""work"",""daily""]",work_up__develop,true,false
wrap up,to finish or complete,"[""Let's wrap up this discussion."", ""They wrapped up the release successfully.""]","[""work"", ""projects""]",wrap_up__finish,false,false
write down,to note,"[""Write down the password."",""He wrote down the steps.""]","[""work"",""daily""]",write_down__note,true,false
write off,to cancel or disregard,"[""They wrote off the debt."",""He wrote off the old laptop.""]","[""work"",""daily""]",write_off__cancel,true,false
write out,to complete in writing,"[""Write out the full query."",""He wrote out the contract.""]","[""work"",""projects""]",write_out__complete,true,false
write up,to prepare a formal report,"[""She wrote up the minutes."",""He wrote up a contract.""]","[""work"",""projects""]",write_up__report,true,false
zip up,to close / fasten with a zipper,"[""Zip up your jacket."",""He zipped up the bag.""]","[""daily""]",zip_up__fasten,true,false
zone out,to lose focus,"[""He zoned out in class."",""She zoned out during the talk.""]","[""work"",""daily""]",zone_out__lose_focus,false,true
zoom in,to focus closely,"[""Zoom in on the image."",""She zoomed in on the data.""]","[""IT"",""daily""]",zoom_in__focus,true,false
zoom out,to view more broadly,"[""Zoom out to see the big picture."",""He zoomed out on the map.""]","[""IT"",""daily""]",zoom_out__view,true,false
